Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A28262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28275	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A28276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28281	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
A28283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28311	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A28318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0
A28336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28340	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28342	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28359	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28365	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A28367	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28375	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A28385	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28387	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28395	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28397	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28402	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28403	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28404	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A28405	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28427	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28434	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A28437	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A28441	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
A28443	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1
A28447	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
A28461	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0
A28466	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28470	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A28490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29028	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1
A29032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
A29038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29055	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0
A29056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29059	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29066	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
A29074	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A29086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A29088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
A29121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29157	0	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0
A29163	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A29171	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
A29209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29215	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29223	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0
A29225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29279	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A29280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A29281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29301	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0
A29302	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
A29304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29307	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A29310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29311	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
A29320	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
A29326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29344	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0
A29345	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29349	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29360	0	1	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1
A29361	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29365	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1
A29370	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A29372	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29373	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29379	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
A29387	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
A29395	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29398	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29405	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
A29410	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29420	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1
A29421	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A29422	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29425	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29428	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29434	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29447	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29451	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29454	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A29457	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29477	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29483	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A29489	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A29492	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A29499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30017	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A30027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30043	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
A30047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A30071	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A30077	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0
A30080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30093	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A30097	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30100	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
A30104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30122	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
A30126	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1
A30131	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0
A30132	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1
A30133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30143	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0
A30145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30183	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A30203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A30292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30298	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0
A30307	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30325	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
A30351	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1
A30354	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1
A30372	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30374	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30385	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A30387	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
A30399	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31003	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
A31004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31005	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A31009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
A31010	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1
A31011	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31014	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1
A31015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31022	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0
A31023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
A31028	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1
A31029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
A31030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
A31035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31036	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
A31037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
A31043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A31045	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
