,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
reported,1.608765411607883e-05,5.218245841546761e-06,0.0,0.0,2.3490667954302885e-06,0.0,5.882829300462097e-06,9.12058112286846e-06,0.0,6.507952066476473e-06,6.556441145200377e-06,3.160829272252967e-06,0.0,0.0,8.180561164885865e-06,1.2821297164841504e-05,3.408452758603435e-06,0.0,5.5871202942945595e-06,9.604290503259533e-06
interest,6.250152310653287e-06,9.459835550737901e-06,0.0,1.21167364851773e-05,6.083676726827411e-06,1.16909678225569e-05,1.8280361033252466e-05,0.0,8.30719570688838e-06,1.5729438903536482e-05,6.792138139580999e-06,8.185837600556551e-06,0.0,5.08763782917489e-06,9.886819423425079e-06,8.854930369416231e-06,7.944449000925975e-06,0.0,5.788005770044565e-06,9.949367815272325e-06
discriminates,5.581993082924964e-06,3.620977545583505e-06,0.0,0.0,0.0,7.83130543418486e-06,0.0,1.2657467740605041e-05,0.0,6.0212020759082405e-06,9.098975292316603e-06,4.386572961539464e-06,2.7405286621431148e-05,0.0,0.0,0.0,1.182518497742587e-05,0.0,7.753759758859728e-06,4.443093613245742e-06
strong,2.083487235418526e-06,9.459835550737901e-06,0.0,0.0,7.300306553046771e-06,2.045706301664843e-05,0.0,4.724418693914543e-06,1.8461851953016074e-06,1.1235913327068094e-05,3.3962060854071164e-06,6.548797444348303e-06,2.0455642633817383e-05,0.0,1.4125449780826168e-06,4.427698062106813e-06,7.944449000925975e-06,4.512193399178851e-06,5.788005770044565e-06,8.291303171078434e-06
suppressing,1.7713374414308776e-05,1.149047124528435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.200916312251984e-05,0.0,0.0,0.0,0.0,0.0
stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rebuttal,2.1499194672952107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7112693104819538e-05
problem,3.934704627495111e-06,7.656415296501445e-06,1.454508804640863e-05,5.721095665321981e-06,6.8932968221681016e-06,4.140190783318556e-06,1.4388173380827188e-06,2.2307038981978098e-06,5.665389648588379e-06,7.95727202857424e-06,0.0,7.729376081978834e-06,0.0,9.607070845193987e-06,8.668655524980733e-06,1.1495595083716784e-05,8.33479121214379e-06,1.4908695795317032e-05,8.19754937285946e-06,7.828950838462167e-06
increasingly,6.660369933444627e-06,4.320546320348416e-06,2.462410952009602e-05,0.0,5.8346954856268635e-06,0.0,4.870800889636775e-06,0.0,2.9509613751172115e-06,5.388383224483011e-06,5.428530683422115e-06,2.6170689722495215e-06,1.6350241047257483e-05,2.439344915509948e-05,4.5155770226182615e-06,0.0,2.822093567730488e-06,0.0,0.0,5.301474959030794e-06
travel,4.166871335572469e-06,4.054475595887086e-06,1.540537494892862e-05,0.0,9.733460702631045e-06,2.9230464220206607e-06,0.0,0.0,5.53831265259337e-06,1.123726324461132e-06,1.0187796206739844e-05,1.637294893925323e-06,1.0229064065557433e-05,1.0174660726589475e-05,9.886819423425079e-06,2.213907256528975e-06,3.5310513593807864e-06,0.0,8.68171018802129e-06,8.291303171078434e-06
inspire,8.555389714596386e-06,0.0,6.325884034566177e-05,4.9754757762620506e-05,4.996549428492523e-06,0.0,0.0,0.0,3.7905216730999225e-06,0.0,1.3945785756592373e-05,0.0,0.0,0.0,5.800310446569747e-06,9.090931323979773e-06,0.0,0.0,0.0,0.0
consenting,1.2943804958355722e-05,8.396503974895472e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.734837904966233e-06,0.0,0.0,0.0,0.0,0.0,8.77553093697426e-06,0.0,5.48439622065006e-06,0.0,0.0,0.0
gather,8.555389714596386e-06,5.549787251623869e-06,0.0,4.9754757762620506e-05,0.0,0.0,0.0,0.0,1.137131561640024e-05,0.0,0.0,0.0,0.0,2.0891284388680594e-05,1.1600426228986065e-05,0.0,1.0874738075458482e-05,0.0,3.5649565202535894e-05,0.0
strips,8.555389714596386e-06,5.549787251623869e-06,0.0,4.9754757762620506e-05,4.996549428492523e-06,0.0,0.0,0.0,0.0,0.0,1.3945785756592373e-05,0.0,4.2003439238176095e-05,2.0891284388680594e-05,0.0,0.0,3.624988723785692e-06,0.0,0.0,0.0
disagree,1.1241471935130916e-05,1.458420435168983e-05,0.0,0.0,0.0,1.5771320197999383e-05,0.0,0.0,0.0,6.063074313320706e-06,1.832425692176403e-05,0.0,0.0,0.0,0.0,0.0,4.7631037700221636e-06,0.0,0.0,0.0
capitalism,7.455651676487584e-06,4.8363992766016216e-06,0.0,0.0,4.354276469678133e-06,0.0,2.180826700313874e-05,1.6906088771231472e-05,0.0,0.0,0.0,5.8589753818898535e-06,0.0,0.0,5.054719393008543e-06,0.0,6.317975152374459e-06,0.0,0.0,1.1868701819489323e-05
practise,1.7713374414308776e-05,1.149047124528435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8873836592949287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minded,7.455651676487584e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.303275503463515e-06,0.0,1.215314841575043e-05,5.8589753818898535e-06,0.0,0.0,5.054719393008543e-06,0.0,6.317975152374459e-06,1.6146651493387342e-05,2.0712080299490782e-05,5.934467824354377e-06
topics,1.6649688603184787e-05,2.16030784551982e-06,1.23131814122177e-05,0.0,3.889853217873673e-06,4.672227418467818e-06,0.0,7.55155935661477e-06,2.9509613751172115e-06,3.592303437482011e-06,0.0,5.234036138784965e-06,0.0,0.0,6.7732518766988915e-06,3.5387320940147666e-06,1.411061582157718e-06,0.0,1.3876934719231687e-05,1.5903171688529564e-05
awarded,7.455651676487584e-06,0.0,0.0,0.0,4.354276469678133e-06,0.0,1.0904528235623492e-05,1.6906088771231472e-05,0.0,0.0,1.215314841575043e-05,0.0,0.0,0.0,5.054719393008543e-06,7.922352999399381e-06,3.159020705933605e-06,0.0,0.0,5.934467824354377e-06
developed,2.686082220534528e-06,3.484808060347671e-06,0.0,0.0,1.0980195380102303e-05,3.7684622638974623e-06,7.85696553428549e-06,1.218098644356148e-05,7.140126848391343e-06,5.794708737040752e-06,0.0,1.6884423142959592e-05,0.0,3.278760380444777e-05,5.463078274041478e-06,1.997640789358652e-05,5.690336525059181e-06,0.0,3.7311469077736174e-06,1.2826966030724463e-05
studying,1.1241471935130916e-05,0.0,0.0,6.537594799141446e-05,1.9695285036407655e-05,0.0,0.0,0.0,4.980608064523277e-06,0.0,0.0,0.0,0.0,0.0,7.6213976540327105e-06,1.1945154195414978e-05,0.0,0.0,0.0,0.0
tried,1.7110355926534906e-05,5.549787251623869e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.580960210658869e-06,1.3842647744911581e-05,0.0,2.689122032806594e-05,0.0,0.0,0.0,0.0,1.4499498709762698e-05,0.0,1.1884005498559231e-05,6.8098252425338055e-06
western,3.33026739295533e-06,2.16030784551982e-06,0.0,0.0,1.9449547237583962e-06,9.344130365431609e-06,9.74124914210476e-06,7.55155935661477e-06,7.377160742314812e-06,7.184415060384825e-06,1.628427807793327e-05,5.234036138784965e-06,0.0,8.132132552404943e-06,4.5155770226182615e-06,0.0,4.233095957959844e-06,0.0,0.0,2.650789702571059e-06
usable,1.2943804958355722e-05,8.396503974895472e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1099159342370515e-05,0.0,0.0,0.0,8.77553093697426e-06,0.0,0.0,0.0,0.0,1.0302867862285733e-05
multimillion,1.7713374414308776e-05,1.149047124528435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409929743015839e-05
found,4.166871335572469e-06,4.054475595887086e-06,0.0,1.21167364851773e-05,3.6503115613397618e-06,0.0,3.0472782759998463e-06,0.0,4.615311152719122e-06,3.3710889676612398e-06,3.3962060854071164e-06,4.911693611149316e-06,0.0,1.0174660726589475e-05,8.474558836047349e-06,2.213907256528975e-06,4.413767912449579e-06,4.512193399178851e-06,2.8941023831618445e-06,8.291303171078434e-06
info,1.7713374414308776e-05,0.0,0.0,0.0,1.034502854446111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409929743015839e-05
costefficiency,1.2943804958355722e-05,0.0,0.0,0.0,7.559487460501042e-06,0.0,1.8931421795081547e-05,0.0,5.734837904966233e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0302867862285733e-05
seeking,4.769569455953055e-06,6.187835188896671e-06,1.7634792357380592e-05,2.7737926713971243e-05,0.0,0.0,6.975903255811669e-06,0.0,6.3394282957621235e-06,2.572461526467459e-06,0.0,3.7481351379075882e-06,0.0,0.0,0.0,5.068130127964178e-06,2.0209056596971334e-06,0.0,6.625249290935463e-06,3.796429567872658e-06
effort,9.538902812159767e-06,3.093967270388877e-06,0.0,0.0,1.1141681165983311e-05,0.0,3.4874466582487346e-05,3.2442119766264376e-05,4.226331876602278e-06,5.144854370604944e-06,7.774677250578772e-06,0.0,0.0,0.0,0.0,5.068130127964178e-06,4.041768931516385e-06,0.0,6.625249290935463e-06,3.796429567872658e-06
solid,4.769569455953055e-06,3.093967270388877e-06,0.0,2.7737926713971243e-05,5.571001636492265e-06,6.691508685918124e-06,2.09261947122478e-05,0.0,4.226331876602278e-06,2.572461526467459e-06,0.0,3.7481351379075882e-06,0.0,0.0,3.23363218554558e-06,1.0135993673589756e-05,0.0,0.0,0.0,3.796429567872658e-06
recorded,1.1241471935130916e-05,7.2922192578366146e-06,0.0,0.0,6.565284814210589e-06,0.0,0.0,0.0,4.980608064523277e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434557534141205e-05,0.0,1.789537443534144e-05
diversitiy,1.2943804958355722e-05,8.396503974895472e-06,0.0,0.0,7.559487460501042e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7979806230794774e-05,1.0302867862285733e-05
army,1.879978375005053e-05,8.711600546120388e-06,0.0,0.0,2.1958169237069642e-05,7.155606616174769e-05,0.0,2.4359238965767447e-05,1.546908749617253e-05,3.3311127295170065e-05,1.3134353689407621e-05,4.221598374882826e-06,0.0,0.0,1.2746327128595472e-05,1.7123085573632217e-05,1.2517952735014144e-05,1.744981648257863e-05,3.7311469077736174e-06,1.4964498930411987e-05
theyre,5.372031476587298e-06,1.742432006212744e-06,0.0,0.0,0.0,3.7684622638974623e-06,0.0,6.090835038658463e-06,4.760188961044973e-06,4.346089568461408e-06,1.3134353689407621e-05,6.332274399065847e-06,2.6371910062250814e-05,1.3117419110164566e-05,1.8210872074629625e-06,0.0,4.552316959274168e-06,5.817229047104244e-06,3.7311469077736174e-06,4.275992270225685e-06
libertarians,1.7110355926534906e-05,5.549787251623869e-06,0.0,0.0,4.996549428492523e-06,0.0,0.0,1.9399803566948207e-05,3.7905216730999225e-06,9.228555024066525e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.249901414542028e-06,0.0,2.3767193861937254e-05,0.0
opposing,1.7713374414308776e-05,1.149047124528435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55368710017395e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharp,8.555389714596386e-06,5.549787251623869e-06,0.0,0.0,4.996549428492523e-06,1.200285793410192e-05,0.0,0.0,0.0,4.614339111314378e-06,0.0,6.723197366954857e-06,0.0,0.0,5.800310446569747e-06,0.0,3.624988723785692e-06,0.0,0.0,0.0
actor,7.455651676487584e-06,4.8363992766016216e-06,0.0,4.335911694276519e-05,0.0,1.0459970949815587e-05,0.0,0.0,3.303275503463515e-06,0.0,1.215314841575043e-05,5.8589753818898535e-06,0.0,1.8205849724262794e-05,5.054719393008543e-06,0.0,0.0,0.0,0.0,0.0
african,3.0347973975669064e-06,4.921405018051734e-06,5.610500809861383e-06,0.0,8.861032955382195e-06,8.514714246164674e-06,2.2193803064466297e-06,6.881349470834103e-06,4.705861152611204e-06,8.183290958176153e-06,7.419930908643812e-06,2.38488843885293e-06,0.0,0.0,4.114907022200207e-06,4.837015146523812e-06,6.4288949667494845e-06,1.6427982111996113e-05,4.215494896153362e-06,3.623354020938914e-06
compensation,1.0743531147850104e-05,1.0453752827813294e-05,0.0,0.0,5.174433567606889e-05,3.390674194449767e-05,0.00014517001636291384,3.044734038982861e-05,2.0227919623854418e-05,2.897431724130305e-06,4.3784711651716555e-06,1.8994606661021384e-05,0.0,3.9342747742953056e-05,1.638758498218285e-05,1.7123085573632217e-05,3.527047063169186e-05,0.0,0.0,8.551647596101291e-06
still,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
begrudgingly,1.5027292193774247e-05,9.748039239071606e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.104951898167625e-06,0.0,0.0,0.0,0.0,1.0188075915056877e-05,0.0,0.0,0.0,0.0,0.0
debasing,1.2943804958355722e-05,8.396503974895472e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.981225573706492e-06,0.0,0.0,0.0,0.0,0.0,1.3754048134901598e-05,0.0,0.0,0.0,1.0302867862285733e-05
acre,1.7713374414308776e-05,1.149047124528435e-05,0.0,0.0,1.034502854446111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overturn,1.2943804958355722e-05,8.396503974895472e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.981225573706492e-06,2.1099159342370515e-05,1.0171804946059068e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replaced,5.581993082924964e-06,7.241838816203807e-06,0.0,0.0,1.3039497123382773e-05,7.83130543418486e-06,8.164142294330758e-06,0.0,7.419253503578975e-06,3.0106412286143438e-06,0.0,0.0,0.0,0.0,3.784432255181865e-06,5.9314090252632025e-06,7.095259800060871e-06,2.4176469056779956e-05,0.0,0.0
star,9.802169872133189e-06,0.0,0.0,0.0,1.1449231404036119e-05,0.0,0.0,2.2226944229648433e-05,4.342915820694535e-06,0.0,0.0,0.0,0.0,2.3935779111910645e-05,6.645591867239403e-06,1.0415756161465565e-05,0.0,0.0,0.0,0.0
reflect,4.769569455953055e-06,0.0,1.7634792357380592e-05,0.0,1.1141681165983311e-05,1.3382552667597122e-05,0.0,3.2442119766264376e-05,4.226331876602278e-06,0.0,7.774677250578772e-06,0.0,0.0,0.0,6.467155847197879e-06,5.068130127964178e-06,1.0104104437508761e-05,0.0,1.3250043034767673e-05,1.8980652092585778e-05
struggle,4.022212166244411e-06,7.827243091432807e-06,1.487154700735494e-05,0.0,7.046996652059675e-06,0.0,0.0,0.0,8.909946916829238e-06,0.0,0.0,3.160829272252967e-06,1.9747404848157767e-05,0.0,5.453798958128437e-06,4.27399052452503e-06,3.408452758603435e-06,8.710876111021228e-06,1.1173856422446259e-05,3.2015563117816378e-06
excludes,6.471902479177861e-06,0.0,0.0,0.0,3.779743730250521e-06,0.0,0.0,1.4675384873033662e-05,0.0,6.981132377591886e-06,0.0,1.0171607101088803e-05,3.1774375172618664e-05,0.0,0.0,6.877024067450799e-06,8.226421783088806e-06,0.0,1.797918809189269e-05,5.151433931142866e-06
regimes,1.608765411607883e-05,7.827243091432807e-06,0.0,0.0,9.39585972111177e-06,2.8211068249046437e-05,4.117086323095492e-05,0.0,1.4255446113785151e-05,3.03659842261014e-05,0.0,6.321535586156516e-06,0.0,0.0,1.9086694986337953e-05,8.547756238249939e-06,1.874472099265331e-05,0.0,1.1173856422446259e-05,6.402986476209291e-06
exists,3.33026739295533e-06,2.16030784551982e-06,0.0,0.0,5.8346954856268635e-06,4.672227418467818e-06,4.870800889636775e-06,0.0,5.901793310749553e-06,1.2572222887216542e-05,0.0,1.0467665086319265e-05,0.0,1.6263282191569323e-05,4.5155770226182615e-06,7.077278051633371e-06,9.876809590285966e-06,0.0,4.625962969522161e-06,1.0602532166596752e-05
need,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonrenewable,1.2943804958355722e-05,8.396503974895472e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.981225573706492e-06,2.1099159342370515e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.80323057902579e-05,0.0,0.0
businesses,6.250152310653287e-06,2.7030271285489993e-06,7.703392332404327e-06,0.0,1.9464670894087577e-05,5.84588984765781e-06,3.959741855883604e-05,0.0,6.461293910994051e-06,5.618331613923831e-06,3.3962060854071164e-06,1.637294893925323e-06,0.0,0.0,2.825042549759168e-06,6.641372428992794e-06,2.6483162923696777e-06,9.023903098585967e-06,2.8941023831618445e-06,3.3167172790379514e-06
basically,6.660369933444627e-06,4.320546320348416e-06,1.23131814122177e-05,0.0,1.9449547237583962e-06,0.0,4.870800889636775e-06,0.0,2.9509613751172115e-06,1.7961756968511993e-06,5.428530683422115e-06,5.234036138784965e-06,0.0,0.0,2.257826398752273e-06,0.0,7.055011957368985e-06,7.212336266113505e-06,4.625962969522161e-06,5.301474959030794e-06
nationalities,1.1241471935130916e-05,7.2922192578366146e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.980608064523277e-06,0.0,1.832425692176403e-05,0.0,0.0,0.0,0.0,0.0,4.7631037700221636e-06,0.0,1.561515240633285e-05,0.0
skill,1.20660392045744e-05,7.827243091432807e-06,1.487154700735494e-05,0.0,1.409338216035678e-05,0.0,0.0,9.12058112286846e-06,5.346085396958198e-06,2.1693752747511986e-06,0.0,3.160829272252967e-06,0.0,0.0,5.453798958128437e-06,8.547756238249939e-06,5.11262552040202e-06,0.0,5.5871202942945595e-06,9.604290503259533e-06
retirement,3.351974052798368e-06,1.0557292192230713e-05,8.850531492525634e-06,2.7852354589240394e-06,1.5650941037175807e-05,4.0307681854173735e-06,2.029301266217373e-05,3.2575953951939514e-06,8.696003463800255e-06,4.1320906315685906e-06,7.806750296551565e-07,3.7629387093416504e-06,5.86122918407354e-05,3.508013079985764e-06,5.5183708139996025e-06,3.0530212107629686e-06,9.127380277389606e-06,0.0,5.320784019585116e-06,3.43034132217201e-06
indian,2.686082220534528e-06,3.484808060347671e-06,1.9860982610086806e-05,0.0,9.4117320726717e-06,0.0,7.85696553428549e-06,6.090835038658463e-06,4.760188961044973e-06,4.346089568461408e-06,1.3134353689407621e-05,6.332274399065847e-06,0.0,0.0,1.8210872074629625e-06,2.8542228714352015e-06,2.276206220858073e-06,0.0,3.7311469077736174e-06,2.1380382564817186e-06
part,5.266866493064984e-06,9.005471567542066e-06,1.2388478249727896e-05,0.0,6.151603912415635e-06,6.045522689194805e-06,7.702361228856318e-06,1.1939157660107646e-05,4.8792083371323555e-06,3.0992334175987717e-06,1.6380961083122404e-05,6.396125229409742e-06,1.1750900630586987e-05,1.2856500629244439e-05,3.895647299275647e-06,7.122218031954876e-06,5.071829893224857e-06,4.148146831587181e-06,9.309452515481387e-06,5.3355610647847375e-06
cost,1.967449697784629e-06,3.190531540327701e-06,1.0909813974946988e-05,1.715834815728711e-05,9.764798258599565e-06,5.520062717784717e-06,2.444573817850502e-05,0.0,1.3942670242410134e-05,2.122250772939139e-06,3.2070081012458657e-06,7.730729088603194e-07,0.0,4.804115980422849e-06,9.335318579414071e-06,4.180985846739234e-06,4.5845677622558555e-06,2.1304985982583946e-06,2.7328922075980954e-06,3.914860960288774e-06
violation,1.907686131873841e-05,1.5468842896764052e-05,0.0,0.0,0.0,6.691508685918124e-06,0.0,1.0815253732573007e-05,2.1131891120401606e-06,2.572461526467459e-06,1.5548727182219473e-05,1.1243968010215165e-05,0.0,0.0,0.0,5.068130127964178e-06,6.062589817235863e-06,0.0,6.625249290935463e-06,3.796429567872658e-06
industry,9.578253856397856e-07,1.55326568524285e-06,3.5411842634579054e-06,2.7852354589240394e-06,2.5170380339354064e-06,2.68736537832274e-06,3.501833498164095e-06,6.51409426456797e-06,2.3338414380591184e-06,2.066265923384892e-06,7.806750296551565e-07,1.8816523057966104e-06,0.0,1.1694790343353646e-06,2.5972724877641736e-06,2.035454520396013e-06,1.4203804066801599e-06,3.111276855806368e-06,1.995636951365552e-06,2.6681483571711344e-06
libertarian,9.802169872133189e-06,1.2716915483141574e-05,0.0,0.0,0.0,0.0,1.4336511787177548e-05,0.0,8.685736390474473e-06,5.286788483704445e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.306432271614204e-06,0.0,0.0,7.802223633713924e-06
chance,2.9511015062367645e-06,5.742588005930829e-06,1.0909813974946988e-05,5.721095665321981e-06,3.4469473052624857e-06,2.7602230277351357e-06,1.4388173380827188e-06,8.92131357575524e-06,5.2296477828721125e-06,4.2442749246939794e-06,1.6035687445651729e-06,4.63798640418057e-06,0.0,0.0,6.668532161986208e-06,2.0906028798647396e-06,7.501469383019787e-06,6.390810685803446e-06,8.19754937285946e-06,3.914860960288774e-06
imposing,4.022212166244411e-06,5.218245841546761e-06,0.0,0.0,7.046996652059675e-06,1.128560274718967e-05,5.882829300462097e-06,0.0,1.7820675502302228e-06,8.677153589635806e-06,0.0,3.160829272252967e-06,0.0,9.82178264693898e-06,0.0,4.27399052452503e-06,6.816762539215784e-06,0.0,5.5871202942945595e-06,1.28054684028356e-05
compete,8.044225227877608e-06,0.0,2.9740372531099498e-05,0.0,9.39585972111177e-06,0.0,0.0,1.8240138554061594e-05,5.346085396958198e-06,2.1693752747511986e-06,6.556441145200377e-06,3.160829272252967e-06,1.9747404848157767e-05,0.0,8.180561164885865e-06,0.0,8.520863816507947e-06,0.0,5.5871202942945595e-06,3.2015563117816378e-06
ever,8.333330170888305e-06,6.757242350643664e-06,0.0,1.21167364851773e-05,1.0949985030043324e-05,1.16909678225569e-05,9.141173007646013e-06,4.724418693914543e-06,1.1075896611805192e-05,1.011245696689849e-05,6.792138139580999e-06,0.0,0.0,5.08763782917489e-06,1.2711198439383516e-05,4.427698062106813e-06,7.061806495823723e-06,0.0,1.4468522226636947e-05,9.949367815272325e-06
uses,1.3320080522242982e-05,0.0,0.0,0.0,1.1668884963101801e-05,1.868696302510835e-05,4.870800889636775e-06,0.0,2.9509613751172115e-06,7.184415060384825e-06,5.428530683422115e-06,5.234036138784965e-06,0.0,0.0,1.1288374295770792e-05,7.077278051633371e-06,9.876809590285966e-06,1.4423899381544629e-05,4.625962969522161e-06,1.0602532166596752e-05
student,9.103490961061229e-06,1.5745715558290422e-05,5.610500809861383e-06,0.0,3.808428108998677e-05,6.386257411710996e-06,4.8789285655455246e-05,1.3761154479866181e-05,3.1582645942531624e-05,4.910236729172119e-06,7.419930908643812e-06,1.0730537062916626e-05,0.0,1.4818937242494719e-05,2.0569013413374512e-05,2.4177446571510435e-05,1.9925187138333224e-05,0.0,6.323024966024629e-06,1.0868777413265309e-05
taught,6.660369933444627e-06,2.16030784551982e-06,1.23131814122177e-05,0.0,5.8346954856268635e-06,4.672227418467818e-06,9.74124914210476e-06,7.55155935661477e-06,2.9509613751172115e-06,1.7961756968511993e-06,1.628427807793327e-05,5.234036138784965e-06,0.0,0.0,4.5155770226182615e-06,7.077278051633371e-06,2.822093567730488e-06,0.0,0.0,0.0
insurance,4.769569455953055e-06,9.281603761861068e-06,0.0,0.0,2.7855410839600677e-06,6.691508685918124e-06,2.7900583059102522e-05,1.0815253732573007e-05,1.0565482105920692e-05,0.0,0.0,7.496124470879112e-06,0.0,0.0,6.467155847197879e-06,2.0270921130013476e-05,8.083368318654956e-06,0.0,0.0,1.5184820799834778e-05
